00000000000000,1,0,0
00000000000001,1,0,0
00000000000002,1,0,0
00000000000003,1,0,1
00000000000004,1,0,1
00000000000005,1,0,1
00000000000006,1,0,2
00000000000007,1,0,2
00000000000008,1,0,2
00000000000009,2,0,0
0000000000000A,2,0,0
0000000000000B,2,0,0
0000000000000C,2,0,1
0000000000000D,2,0,1
0000000000000E,2,0,1
0000000000000F,2,0,2
00000000000010,2,0,2
00000000000011,2,0,2
00000000000012,13,0,0
00000000000013,13,0,0
00000000000014,13,0,0
00000000000015,13,0,1
00000000000016,13,0,1
00000000000017,13,0,1
00000000000018,13,0,2
00000000000019,13,0,2
0000000000001A,13,0,2
0000000000001B,15,0,0
0000000000001C,15,0,0
0000000000001D,15,0,0
0000000000001E,15,0,1
0000000000001F,15,0,1
00000000000020,15,0,1
00000000000021,15,0,2
00000000000022,15,0,2
00000000000023,15,0,2
00000000000024,18,0,0
00000000000025,18,0,0
00000000000026,18,0,0
00000000000027,18,0,1
00000000000028,18,0,1
00000000000029,18,0,1
0000000000002A,18,0,2
0000000000002B,18,0,2
0000000000002C,18,0,2
0000000000002D,4,1,0
0000000000002E,4,1,0
0000000000002F,4,1,0
00000000000030,4,1,1
00000000000031,4,1,1
00000000000032,4,1,1
00000000000033,4,1,2
00000000000034,4,1,2
00000000000035,4,1,2
00000000000036,5,1,0
00000000000037,5,1,0
00000000000038,5,1,0
00000000000039,5,1,1
0000000000003A,5,1,1
0000000000003B,5,1,1
0000000000003C,5,1,2
0000000000003D,5,1,2
0000000000003E,5,1,2
0000000000003F,6,1,0
00000000000040,6,1,0
00000000000041,6,1,0
00000000000042,6,1,1
00000000000043,6,1,1
00000000000044,6,1,1
00000000000045,6,1,2
00000000000046,6,1,2
00000000000047,6,1,2
00000000000048,7,1,0
00000000000049,7,1,0
0000000000004A,7,1,0
0000000000004B,7,1,1
0000000000004C,7,1,1
0000000000004D,7,1,1
0000000000004E,7,1,2
0000000000004F,7,1,2
00000000000050,7,1,2
00000000000051,9,2,0
00000000000052,9,2,0
00000000000053,9,2,0
00000000000054,9,2,1
00000000000055,9,2,1
00000000000056,9,2,1
00000000000057,9,2,2
00000000000058,9,2,2
00000000000059,9,2,2
0000000000005A,10,2,0
0000000000005B,10,2,0
0000000000005C,10,2,0
0000000000005D,10,2,1
0000000000005E,10,2,1
0000000000005F,10,2,1
00000000000060,10,2,2
00000000000061,10,2,2
00000000000062,10,2,2
00000000000063,11,2,0
00000000000064,11,2,0
00000000000065,11,2,0
00000000000066,11,2,1
00000000000067,11,2,1
00000000000068,11,2,1
00000000000069,11,2,2
0000000000006A,11,2,2
